MAC Address,Name,First Seen,Last Seen,Hit Count,Time Active (minutes)
BLE,DC:20:F2:8B:23:A9,DC-20-F2-8B-23-A9,2025-04-26 23:03:55,2025-04-26 23:03:55,1,0
BLE,77:34:95:90:DD:AF,77-34-95-90-DD-AF,2025-04-26 23:07:19,2025-04-26 23:07:19,1,0
BLE,4F:32:44:91:B2:35,4F-32-44-91-B2-35,2025-04-26 23:07:19,2025-04-26 23:07:19,1,0
BLE,43:9C:97:E0:C5:BD,43-9C-97-E0-C5-BD,2025-04-26 23:09:36,2025-04-26 23:09:36,1,0
BLE,40:2F:B7:48:C3:68,40-2F-B7-48-C3-68,2025-04-26 23:14:08,2025-04-26 23:14:08,1,0
BLE,7C:51:B3:39:2B:CB,7C-51-B3-39-2B-CB,2025-04-26 23:14:08,2025-04-26 23:14:08,1,0
BLE,CA:67:27:EA:3F:37,CA-67-27-EA-3F-37,2025-04-26 23:15:16,2025-04-26 23:15:16,1,0
BLE,E5:FA:32:D6:F9:4F,E5-FA-32-D6-F9-4F,2025-04-26 23:16:24,2025-04-26 23:16:24,1,0
BLE,49:06:BF:85:BF:84,49-06-BF-85-BF-84,2025-04-26 23:16:24,2025-04-26 23:16:24,1,0
BLE,62:64:A3:84:E2:62,62-64-A3-84-E2-62,2025-04-26 23:16:24,2025-04-26 23:16:24,1,0
BLE,44:68:BE:FD:38:1B,44-68-BE-FD-38-1B,2025-04-26 23:17:32,2025-04-26 23:17:32,1,0
BLE,52:F8:AB:6C:D6:AF,52-F8-AB-6C-D6-AF,2025-04-26 23:17:32,2025-04-26 23:17:32,1,0
BLE,60:2A:A2:CB:5F:E0,60-2A-A2-CB-5F-E0,2025-04-26 23:23:13,2025-04-26 23:23:13,1,0
BLE,41:BF:9B:14:EA:D8,41-BF-9B-14-EA-D8,2025-04-26 23:25:29,2025-04-26 23:25:29,1,0
BLE,4A:7D:21:3E:00:B6,4A-7D-21-3E-00-B6,2025-04-26 23:28:53,2025-04-26 23:28:53,1,0
BLE,78:C4:0B:21:B0:E4,78-C4-0B-21-B0-E4,2025-04-26 23:28:53,2025-04-26 23:28:53,1,0
BLE,7E:41:26:5F:D4:34,7E-41-26-5F-D4-34,2025-04-26 23:31:09,2025-04-26 23:31:09,1,0
BLE,C2:01:0D:98:EC:DA,C2-01-0D-98-EC-DA,2025-04-26 23:31:09,2025-04-26 23:31:09,1,0
BLE,E8:5C:77:64:B6:20,E8-5C-77-64-B6-20,2025-04-26 23:33:26,2025-04-26 23:33:26,1,0
BLE,4C:53:77:FF:FA:D3,4C-53-77-FF-FA-D3,2025-04-26 23:36:50,2025-04-26 23:36:50,1,0
BLE,77:33:8D:4C:1C:15,77-33-8D-4C-1C-15,2025-04-26 23:36:50,2025-04-26 23:36:50,1,0
BLE,5A:51:BD:F1:89:C2,5A-51-BD-F1-89-C2,2025-04-26 23:36:50,2025-04-26 23:36:50,1,0
BLE,5F:ED:22:B1:B4:99,5F-ED-22-B1-B4-99,2025-04-26 23:36:50,2025-04-26 23:36:50,1,0
BLE,7A:5F:B2:A0:DD:57,7A-5F-B2-A0-DD-57,2025-04-26 23:43:38,2025-04-26 23:43:38,1,0
BLE,E7:4F:B0:85:52:E4,E7-4F-B0-85-52-E4,2025-04-26 23:45:55,2025-04-26 23:45:55,1,0
BLE,47:2E:D0:73:6A:E1,47-2E-D0-73-6A-E1,2025-04-26 23:48:11,2025-04-26 23:48:11,1,0
BLE,77:0D:CA:7E:32:E8,77-0D-CA-7E-32-E8,2025-04-26 23:48:11,2025-04-26 23:48:11,1,0
BLE,45:12:4B:26:7E:AD,45-12-4B-26-7E-AD,2025-04-26 23:52:43,2025-04-26 23:52:43,1,0
BLE,CF:9E:D9:F0:06:7C,CF-9E-D9-F0-06-7C,2025-04-26 23:52:43,2025-04-26 23:52:43,1,0
BLE,79:D2:F1:D1:6C:77,79-D2-F1-D1-6C-77,2025-04-26 23:57:15,2025-04-26 23:57:15,1,0
